hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
9ee9fbf971b46347ba8448f1616b7a4ffd98ab6d9ee189e0972db5b4414fe98a,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,1.0,,0.9174000000000001,0.13340629670296675,,
6adce0f7f377446da8ed429c9e5595623799d885a69ebb484d6081a00fcb91cc,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,1.5,,0.9174000000000001,0.13340629670296675,,
1bde152578538294ffd0230b17e2f97d903dac219557e3d57f09c9e1b48c6b01,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,2.0,,0.9174000000000001,0.13340629670296675,,
0db320433136aeafa73a0a07ea7da7b418536c4ba64dc261fc1727000f478a80,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,2.5,,0.9174000000000001,0.13340629670296675,,
17474054982eaad77288e77ee6d064d9aa8a0d4a338af0a5f8a11aae882c45ab,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,3.0,,0.9174000000000001,0.13340629670296675,,
a625517c1d60ab02decd743406a81dfa2076f8325f00f5b368bbfb4face876d2,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,4.0,,0.9174000000000001,0.13340629670296675,,
308d5adeff45caeed071c7e8227b6ca182e3fe772c656c995c4301cf322c256e,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,5.0,,0.9174000000000001,0.13340629670296675,,
949dacfa06043c23db2b61e73fe39922614182f8f5ab5183860e7842ccd5d559,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,7.5,,0.9174000000000001,0.13340629670296675,,
12c0c9fe22b4acd83f8d460f21bd160f278d68a864999184c7ca7c009484cc94,corpus-sift-128,corpus-sift-128_hnsw_8_100_none,hnsw,8.0,100.0,10,10.0,,0.9174000000000001,0.13340629670296675,,
82fedf1265714f0c7510f58a3815b051b68c163ac79cefc27e564f8b07d8389f,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.0,2000.0,0.9673999999999999,0.06322372972231233,,
4f22fe1e4c30ab54bcbd2348b257aac9a37d9425e93a81ad36be33583e3cfd16,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.5,2000.0,0.9673999999999999,0.06322372972231233,,
bc8575919764bb9466072220079a6ccd0a014efb48948b5af31dcc1eeaa7caf0,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.0,2000.0,0.9673999999999999,0.06322372972231233,,
cd1c16e4f325ab19bf7b760c2990fc192c5466b09e52eaf32e7145529f2006f8,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.5,2000.0,0.9673999999999999,0.06322372972231233,,
ea11e423ee1ed9ab2dbb554858e3ed9a22662eaa90d0ebf4be47b410fe137b94,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,3.0,2000.0,0.9673999999999999,0.06322372972231233,,
b74d7205ad0c4359bde2b508923e3e616c476b234ef23b14184a4e3b5f1b15fc,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,4.0,2000.0,0.9673999999999999,0.06322372972231233,,
e3cb2125d470dad903bdf47659bb2419be808d9dcf01848f0a2d549897a857e3,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,5.0,2000.0,0.9673999999999999,0.06322372972231233,,
43c1edf775a53c3ff9b5db0d041dee3a17a2051491553d8fac232cd0272b17f6,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,7.5,2000.0,0.9673999999999999,0.06322372972231233,,
0316b6d1e14408ca9f5c7f24d4be9638c28ff2ea1f2514753fcde8b0d2cc1afb,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,10.0,2000.0,0.9673999999999999,0.06322372972231233,,
f3774826c5f5edbe657571caea7b256029b87706a81d91ab3a25d693363e350c,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.0,4000.0,0.9402,0.09981963734656624,,
a73a639e9c86f47e343410d678c2543990304982d789480c74d65c4b24e82d9e,corpus-sift-128,corpus-sift-128_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.5,4000.0,0.9402,0.09981963734656624,,
